slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,grouping
527,-34.06354522705078,-34.00000000000165,0.06354522704913279,0.004037995880725838,4.821455622293863e-05,0.022476911544799805,5
528,-34.1151008605957,-34.50000000000165,0.38489913940594533,0.14814734751543734,4.821455622293863e-05,0.02684807777404785,5
529,-34.07555389404297,-34.50000000000165,0.4244461059586797,0.18015449686348675,4.821455622293863e-05,0.026618242263793945,5
530,-34.06511688232422,-34.50000000000165,0.4348831176774297,0.18912332604084117,4.821455622293863e-05,0.030093908309936523,5
531,-34.06822967529297,-34.50000000000165,0.4317703247086797,0.1864256132990387,4.821455622293863e-05,0.026245832443237305,5
532,-34.21786117553711,-34.50000000000165,0.2821388244645391,0.079602316270232,4.821455622293863e-05,0.030323266983032227,5
533,-34.151729583740234,-34.50000000000165,0.3482704162614141,0.12129228284289864,4.821455622293863e-05,0.02252483367919922,5
534,-34.1458854675293,-34.50000000000165,0.3541145324723516,0.12539710210811214,4.821455622293863e-05,0.025483131408691406,5
535,-34.21669006347656,-34.50000000000165,0.28330993652508596,0.08026452013384823,4.821455622293863e-05,0.026931047439575195,5
536,-34.308250427246094,-34.50000000000165,0.1917495727555547,0.03676789865193777,4.821455622293863e-05,0.02279496192932129,5
537,-34.198097229003906,-34.50000000000165,0.3019027709977422,0.09114528313611517,4.821455622293863e-05,0.024774789810180664,5
538,-34.19559097290039,-34.50000000000165,0.30440902710125783,0.09266485578073433,4.821455622293863e-05,0.036015987396240234,5
539,-34.17603302001953,-34.50000000000165,0.3239669799821172,0.10495460411873353,4.821455622293863e-05,0.03740119934082031,5
540,-34.081111907958984,-34.00000000000165,0.08111190795733592,0.006579141612479333,4.821455622293863e-05,0.021738052368164062,5
541,-33.988346099853516,-34.00000000000165,0.011653900148132834,0.0001358133886626505,4.821455622293863e-05,0.048539161682128906,5
542,-34.012779235839844,-34.00000000000165,0.01277923583819529,0.0001633088686082149,4.821455622293863e-05,0.02966022491455078,5
