slice,gnn_doa,music_doa,abs_error,squared_error,gnn_infer_time,music_time,n_select,group_size,num_groups
687,-24.60157585144043,-24.50000000000176,0.1015758514386711,0.01031765359549098,5.549407867063959e-05,0.008466958999633789,10,5,2
688,-24.597869873046875,-24.50000000000176,0.0978698730451164,0.009578512049867203,5.549407867063959e-05,0.014019966125488281,10,5,2
689,-24.5151424407959,-24.50000000000176,0.015142440794139844,0.00022929351320403053,5.549407867063959e-05,0.0188138484954834,10,5,2
690,-24.67751693725586,-24.50000000000176,0.17751693725410078,0.03151226301207635,5.549407867063959e-05,0.007630109786987305,10,5,2
691,-24.559350967407227,-24.50000000000176,0.05935096740546797,0.0035225373319649213,5.549407867063959e-05,0.011629104614257812,10,5,2
692,-24.34234046936035,-24.50000000000176,0.15765953064140703,0.024856527602068763,5.549407867063959e-05,0.015774965286254883,10,5,2
693,-24.428470611572266,-24.50000000000176,0.07152938842949297,0.005116453409097283,5.549407867063959e-05,0.007676124572753906,10,5,2
694,-24.284440994262695,-24.000000000001766,0.2844409942609296,0.0809066792161462,5.549407867063959e-05,0.007701873779296875,10,5,2
695,-24.112144470214844,-24.000000000001766,0.11214447021307805,0.01257638219937195,5.549407867063959e-05,0.011418819427490234,10,5,2
696,-32.24106979370117,-32.00000000000168,0.241069793699495,0.058114645434317075,5.549407867063959e-05,0.008778810501098633,10,5,2
697,-33.20172119140625,-33.00000000000166,0.20172119140458733,0.04069143906168616,5.549407867063959e-05,0.008414983749389648,10,5,2
698,-33.32267379760742,-33.500000000001656,0.1773262023942337,0.03144458205556073,5.549407867063959e-05,0.008099794387817383,10,5,2
699,-33.23432922363281,-33.00000000000166,0.23432922363114983,0.05491018504757743,5.549407867063959e-05,0.011863946914672852,10,5,2
700,-33.0836181640625,-33.00000000000166,0.08361816406083733,0.006991997360905108,5.549407867063959e-05,0.013778924942016602,10,5,2
701,-32.85993194580078,-33.00000000000166,0.14006805420088142,0.019619059807621055,5.549407867063959e-05,0.019019126892089844,10,5,2
702,-32.579715728759766,-32.50000000000167,0.07971572875809585,0.006354597411434309,5.549407867063959e-05,0.012933731079101562,10,5,2
703,-32.43801498413086,-32.50000000000167,0.0619850158708104,0.003842142192504617,5.549407867063959e-05,0.008121728897094727,10,5,2
704,-32.39513397216797,-32.50000000000167,0.10486602783370103,0.010996883793618559,5.549407867063959e-05,0.011291027069091797,10,5,2
